object_label,num_nodes,num_branches,num_projections,branch_lengths,total_skeleton_length,area,fractal_dim,perimeter,circularity,roundness,projection_lengths,avg_projection_length,max_projection_length,neighbors,length_width_ratio,file_name
21,2,1,0,[113.33809511662416],113.33809511662416,766.0,0.0,247.11983823776245,0.15762438737056322,6.344195950142374,[],0.0,0.0,1,1.0512820512820513,r02c05f01p01-ch2sk1fk1fl1.tiff
22,8,5,3,"[8.414213562373096, 25.485281374238575, 29.213203435596434, 45.142135623730944, 32.31370849898477]",140.5685424949238,1328.0,1.358503245132323,308.8355666399002,0.1749658617301281,5.715400650799102,"[42.22792184352875, 22.985281229019165, 5.914213538169861]",23.709138870239258,42.22792184352875,1,1.3484848484848484,r02c05f01p01-ch2sk1fk1fl1.tiff
23,5,3,2,"[28.45584412271572, 74.31370849898475, 25.414213562373096]",128.18376618407356,1128.0,1.448636122617025,286.79393672943115,0.17233720008635006,5.802577734226546,"[71.39949476718903, 24.920309841632843]",48.159902304410934,71.39949476718903,1,2.1041666666666665,r02c05f01p01-ch2sk1fk1fl1.tiff
24,2,1,0,[76.55634918610403],76.55634918610403,490.0,0.0,202.89444231987,0.14957728362718817,6.685507155568063,[],0.0,0.0,0,4.588235294117647,r02c05f01p01-ch2sk1fk1fl1.tiff
1,23,16,3,"[26.656854249492383, 2.0, 1.4142135623730951, 61.84062043356592, 2.0, 1.4142135623730951, 12.071067811865477, 2.0, 1.4142135623730951, 9.071067811865476, 12.828427124746192, 10.828427124746192, 11.65685424949238, 8.414213562373096, 41.45584412271571, 7.82842712474619]",212.8944443027283,1518.0,1.5554048859191594,427.24472761154175,0.10450286848504706,9.569115321873547,"[37.92030984163284, 8.121320307254791, 9.5]",18.51387671629588,37.92030984163284,1,1.92,r04c02f01p01-ch2sk1fk1fl1.tiff
2,2,1,0,[15.899494936611667],15.899494936611667,219.0,0.0,62.28427052497864,0.7094098498518219,1.4096223786699258,[],0.0,0.0,1,1.2941176470588236,r04c02f01p01-ch2sk1fk1fl1.tiff
3,8,5,1,"[32.65685424949238, 5.656854249492381, 7.82842712474619, 24.48528137423857, 11.485281374238571]",82.1126983722081,406.0,1.234282199832324,175.53910398483276,0.16557247591984806,6.039651182628264,[5.121320307254791],5.121320307254791,5.121320307254791,0,2.9545454545454546,r04c02f01p01-ch2sk1fk1fl1.tiff
4,2,1,0,[9.414213562373096],9.414213562373096,94.0,0.0,39.79898941516876,0.7457506294489734,1.3409308158933617,[],0.0,0.0,0,1.5,r04c02f01p01-ch2sk1fk1fl1.tiff
5,20,13,6,"[63.84062043356592, 22.485281374238575, 24.48528137423857, 10.242640687119286, 35.071067811865476, 14.071067811865476, 89.55634918610403, 11.82842712474619, 10.485281374238571, 10.071067811865476, 17.82842712474619, 48.18376618407355, 25.798989873223338]",383.9482681718907,3114.0,1.592931093198999,746.2396749258041,0.0702702990563853,14.230763401157498,"[45.47665876150131, 6.949747383594513, 6.949747383594513, 10.535533845424652, 21.571067690849304, 19.985281229019165]",18.578006048997242,45.47665876150131,0,2.1630434782608696,r04c02f01p01-ch2sk1fk1fl1.tiff
6,17,11,5,"[22.55634918610405, 8.82842712474619, 13.242640687119286, 10.242640687119284, 53.38477631085024, 11.485281374238571, 8.65685424949238, 9.071067811865476, 8.0, 34.45584412271572, 59.76955262170045]",239.69343417595164,1771.0,-1.0,474.1147859096527,0.09900597979156942,10.100400017304331,"[5.7426406145095825, 8.778174459934235, 10.328427076339722, 5.914213538169861, 20.05634891986847]",10.163960921764374,20.05634891986847,1,1.381578947368421,r04c02f01p01-ch2sk1fk1fl1.tiff
7,2,1,0,[116.46803743153538],116.46803743153538,1247.0,0.0,290.3919155597687,0.18582634051978877,5.381368417431163,[],0.0,0.0,0,2.409090909090909,r04c02f01p01-ch2sk1fk1fl1.tiff
8,2,1,0,[78.72792206135784],78.72792206135784,454.0,0.0,187.15432798862457,0.1628793274562381,6.139514545016014,[],0.0,0.0,1,6.75,r04c02f01p01-ch2sk1fk1fl1.tiff
9,0,0,0,[],0.0,77.0,0.0,32.38477599620819,0.9226113529014042,1.0838800073890549,[],0.0,0.0,0,1.2,r04c02f01p01-ch2sk1fk1fl1.tiff
